label,used_a_invariants,sage_rank,sage_rank_error,pari_2_selmer_rank,pari_analytic_rank,has_rational_3_torsion,estimated_3_selmer_bound,notes
518400et2,"[0,0,0,-2447400,-1473688000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400eu1,"[0,0,0,-3000,64000]",1,,,,False,1,
518400ev1,"[0,0,0,-6750,-216000]",1,,,,False,1,
518400ew1,"[0,0,0,-11259000,-14541120000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400ex1,"[0,0,0,-12510,-538560]",1,,,,False,1,
518400ey1,"[0,0,0,-2814750,-1817640000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400ez1,"[0,0,0,-50040,-4308480]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400fa1,"[0,0,0,-112590,14541120]",0,,,,False,0,
518400fb1,"[0,0,0,-1251000,538560000]",1,,,,False,1,
518400fc1,"[0,0,0,-450360,116328960]",1,,,,False,1,
518400fd1,"[0,0,0,-312750,67320000]",0,,,,False,0,
518400fe1,"[0,0,0,-27000,-1728000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400ff1,"[0,0,0,-750,8000]",0,,,,False,0,
518400fg1,"[0,0,0,150,1000]",1,,,,False,1,
518400fg2,"[0,0,0,-611850,-184211000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400fh1,"[0,0,0,5400,-216000]",0,,,,False,0,
518400fh2,"[0,0,0,-22026600,39789576000]",0,,,,False,0,
518400fi1,"[0,0,0,-52200,18936000]",1,,,,False,1,
518400fj1,"[0,0,0,-117450,-63909000]",,rank not provably correct (lower bound: 0),,,False,Inconclusive,
518400fk1,"[0,0,0,9450,108000]",1,,,,False,1,
518400fl1,"[0,0,0,4200,-32000]",0,,,,False,0,
518400fm1,"[0,0,0,1050,-4000]",1,,,,False,1,
518400fn1,"[0,0,0,37800,864000]",0,,,,False,0,
529200a1,"[0,0,0,-7500675,-7962830750]",0,,,,False,0,
529200b1,"[0,0,0,-36750,2786875]",0,,,,False,0,
529200c1,"[0,0,0,-238875,-46733750]",0,,,,False,0,
529200c2,"[0,0,0,1231125,-118763750]",0,,,,False,0,
529200d1,"[0,0,0,-3472875,-2544459750]",1,,,,False,1,
